### wake--->noradrenaline NREM--->GABA REM--->acetylcholin 
time	hypnogram	wake_F	wake_C	NREM_F	NREM_C	REM_F	REM_C	homeostatic
63100	1	5.5618013811504685	0.8032721543546876	0.3575968337293991	0.08754647029445008	0.004636223574075528	0.001663348514830805	0.9183083755609
63120	1	5.555012581024992	0.803824648315036	0.3458798256546389	0.08782661454619296	0.016616770450577783	0.004247623919135125	0.9183552708664079
63140	1	5.567774799662668	0.8044781232128905	0.3540423835542562	0.08621588420253251	0.00661885454409831	0.004037628551316923	0.9184021392515347
63160	1	5.558805983749428	0.804648462000829	0.350304233852517	0.08783485733397978	0.004318656098195552	0.00273999268363422	0.9184489807317319
63180	1	5.550030787542273	0.8044345630506872	0.3521792657821066	0.08922587027467403	0.008573105223796524	0.002166345780270145	0.9184957953224481
63200	1	5.532621595084014	0.8036931949268732	0.35504366491194345	0.08854614167910496	0.0013156496735471234	0.0019050858293855472	0.9185425830391182
63220	1	5.548366172858862	0.8036821612588617	0.35499130354942643	0.08785734079110806	0.007419530230634975	0.004501560918459441	0.9185893438971666
63240	1	5.564139296564316	0.8040154842932906	0.3648470301001221	0.0887862498203441	0.025683020698868363	0.009877393916638845	0.9186360779120174
63260	1	5.569890428560219	0.8045857660679906	0.3677266748896925	0.09015052912602378	0.009689396951200316	0.00899038907949372	0.9186827850990777
63280	1	5.576317381196474	0.8050923223238337	0.3681141495872417	0.09117374231740509	0.048437857332500465	0.015731253959764924	0.9187294654737416
63300	1	5.596524884967508	0.8060319314613178	0.38045889101578606	0.09272804203432045	0.04048691462587728	0.020793240887249532	0.9187761190514087
63320	1	5.588649314374563	0.8066851654094531	0.3703626844804342	0.09078931613116938	0.025287750513484423	0.01422209615768824	0.9188227458474568
63340	1	5.597471489796174	0.8073011333927608	0.35649632047962626	0.09027046203388622	0.02765057984096805	0.011607259384627108	0.9188693458772615
63360	1	5.597582533284373	0.8072935342381666	0.36282306901514527	0.09134440516779778	0.013376455814753573	0.007609590279980189	0.9189159191561888
63380	1	5.577573484116662	0.8069896418944703	0.36795963006022103	0.09230389003359722	0.024296268899229836	0.009814995476270712	0.9189624656995964
63400	1	5.581214387158855	0.8066020855622216	0.34623647769218785	0.08860430651882634	0.04940425430645894	0.014322458247638144	0.9190089855228313
