time	hypnogram	wake_F	wake_C	NREM_F	NREM_C	REM_F	REM_C	H
1750	1	5.592000898423894	0.8072292839020075	0.0003476763595796607	8.674860908342545e-05	1.5860669033644094e-15	8.12812817842107e-16	0.5245013437874184
1760	1	5.590775576605754	0.8071424477798098	0.0003483848771638567	8.692160401986133e-05	1.5556260528107953e-15	7.945558976911338e-16	0.524637844046625
1770	1	5.589558389326928	0.8070561535714202	0.0003491096169512114	8.709871380606489e-05	1.5298584291270357e-15	7.791017488721095e-16	0.5247743051210293
1780	1	5.5883492823717305	0.8069703981118517	0.00034985034689672003	8.727987947661677e-05	1.5080466065848716e-15	7.660200944855083e-16	0.5249107270218806
1790	1	5.587148201887107	0.8068851782515757	0.0003506068386895614	8.746504301493108e-05	1.4895832974163758e-15	7.549467131756731e-16	0.5250471097604233
1800	1	5.585955094380122	0.8068004908564799	0.00035137886769331787	8.76541473380569e-05	1.473954443624236e-15	7.455732982861364e-16	0.5251834533479002
1810	1	5.584769906715617	0.8067163328078372	0.00035216621288716596	8.784713628173076e-05	1.4607249045082023e-15	7.376388738904132e-16	0.525319757795551
1820	1	5.583592586113704	0.8066327010022757	0.0003529686568080387	8.804395458567397e-05	1.4495263414177538e-15	7.30922528644883e-16	0.5254560231146107
1830	1	5.582423080147467	0.8065495923517364	0.00035378598549374094	8.824454787913109e-05	1.4400469624166564e-15	7.252372651375801e-16	0.5255922493163127
1840	1	5.581261336740489	0.8064670037834439	0.0003546179884269946	8.844886266664766e-05	1.4320228413289153e-15	7.204247934778635e-16	0.5257284364118842
1850	1	5.58010730416454	0.8063849322398703	0.0003554644584804017	8.865684631407965e-05	1.4252305694698308e-15	7.163511241665066e-16	0.525864584412553
1860	1	5.578960931037224	0.8063033746786994	0.0003563251918623166	8.886844703483366e-05	1.4194810354706292e-15	7.129028375412509e-16	0.526000693329541
1870	1	5.577822166319638	0.8062223280727799	0.0003571999880635996	8.90836138763328e-05	1.414614160013666e-15	7.099839259308064e-16	0.5261367631740693
1880	1	5.576690959314036	0.8061417894101056	0.0003580886498052488	8.930229670670443e-05	1.4104944388820279e-15	7.075131205960003e-16	0.5262727939573524
1890	1	5.5755672596615815	0.8060617556937634	0.0003589909829868883	8.95244462016865e-05	1.4070071702324523e-15	7.054216290343287e-16	0.5264087856906066
1900	1	5.574451017340004	0.8059822239418963	0.00035990679663610296	8.975001383174806e-05	1.4040552610508034e-15	7.03651219649613e-16	0.5265447383850385
1910	1	5.573342182661356	0.8059031911876723	0.00036083590285860423	8.997895184942237e-05	1.4015565238750012e-15	7.021526004598753e-16	0.5266806520518578
1920	1	5.572240706269791	0.8058246544792352	0.00036177811678920596	9.021121327684624e-05	1.3994413885203788e-15	7.008840467031941e-16	0.5268165267022658
1930	1	5.571146539139284	0.8057466108796733	0.00036273325654361427	9.044675189350385e-05	1.3976509650970186e-15	6.998102391311204e-16	0.5269523623474643
1940	1	5.570059632571435	0.805669057466971	0.000363701143170998	9.068552222417218e-05	1.3961354043893314e-15	6.989012806453108e-16	0.5270881589986504
1950	1	5.568979938193224	0.8055919913339751	0.0003646816006073413	9.092747952706258e-05	1.39485250994731e-15	6.981318638983892e-16	0.527223916667016
1960	1	5.567907407954863	0.805515409588347	0.0003656744556295539	9.117257978215786e-05	1.3937665632471773e-15	6.974805666832953e-16	0.5273596353637534
